,repo_name,files_with_robust_smells
77,InnovateUKGitHub/innovation-funding-service,789
548,researchstudio-sat/webofneeds,445
622,vespa-engine/vespa,416
588,spring-projects/spring-boot,398
295,dhis2/dhis2-core,370
493,opencb/opencga,328
291,dbeaver/dbeaver,311
58,GerritCodeReview/gerrit,297
632,wikimedia/apps-android-wikipedia,277
403,jenkinsci/jenkins,261
222,bazelbuild/bazel,236
9,Alfresco/records-management,226
589,spring-projects/spring-framework,226
636,wordpress-mobile/WordPress-Android,223
294,dhis2/dhis2-android-sdk,219
604,telstra/open-kilda,206
216,axelor/axelor-business-suite,202
546,reportportal/service-api,202
184,aosp-mirror/platform_frameworks_support,199
557,scoophealth/oscar,184
312,esig/dss,180
14,Aptoide/aptoide-client-v8,176
107,NationalSecurityAgency/ghidra,173
75,ISISComputingGroup/ibex_gui,173
127,Sage-Bionetworks/Synapse-Repository-Services,169
81,JabRef/jabref,162
488,ontop/ontop,159
103,MyRobotLab/myrobotlab,157
177,alibaba/nacos,156
202,apache/sis,151
609,timmolter/XChange,151
340,google/ExoPlayer,150
504,orientechnologies/orientdb,138
524,prestodb/presto,134
643,wso2/carbon-apimgt,133
457,metasfresh/metasfresh-webui-api,128
333,gchq/stroom,126
391,iterate-ch/cyberduck,126
544,reportportal/commons-dao,124
72,HubSpot/Singularity,121
122,PrinceOfAmber/CyclicMagic,115
420,khartec/waltz,112
435,langurmonkey/gaiasky,112
669,zstackio/zstack,110
646,wso2/devstudio-tooling-esb,106
575,softindex/datakernel,106
79,IntellectualSites/PlotSquared,103
372,henrichg/PhoneProfilesPlus,100
218,b2ihealthcare/snow-owl,97
613,triplea-game/triplea,96
645,wso2/carbon-identity-framework,95
27,CESNET/perun,94
11,AntennaPod/AntennaPod,92
375,hortonworks/cloudbreak,88
515,phac-nml/irida,88
98,MilosKozak/AndroidAPS,87
619,vector-im/riot-android,85
173,akvo/akvo-flow-mobile,84
26,CCI-MIT/XCoLab,83
596,structr/structr,82
386,intranda/goobi-viewer-core,81
472,nextcloud/android,81
226,bcvsolutions/CzechIdMng,79
554,runelite/runelite,78
194,apache/ignite,77
62,GluuFederation/oxTrust,77
545,reportportal/commons-model,76
168,adaptris/interlok,74
366,h2oai/h2o-3,74
151,TheBusyBiscuit/Slimefun4,73
398,jcryptool/crypto,72
663,zaproxy/zaproxy,72
540,reflectoring/coderadar,71
455,mercadopago/px-android,69
465,mzmine/mzmine3,69
341,google/closure-compiler,67
45,DigitalCampus/oppia-mobile-android,67
138,SpongePowered/SpongeCommon,66
553,rsksmart/rskj,64
638,workcraft/workcraft,64
146,TeamLapen/Vampirism,63
339,gocd/gocd,63
368,hartwigmedical/hmftools,62
245,breadwallet/breadwallet-android,61
227,bdezonia/zorbage,61
640,wso2-extensions/identity-inbound-auth-oauth,60
212,athrane/bassebombecraft,60
56,Flipkart/foxtrot,60
282,cytoscape/cytoscape-impl,60
268,consulo/consulo,59
172,akvo/akvo-flow,58
654,yamcs/yamcs,57
634,wildfly/wildfly,56
595,strongbox/strongbox,56
534,real-logic/Aeron,56
464,msmobility/silo,56
630,webanno/webanno,56
221,batfish/batfish,55
186,apache/activemq-artemis,55
217,axkr/symja_android_library,54
610,tlaplus/tlaplus,53
388,iotaledger/iri,51
552,rsahlin/graphics-by-opengl,50
88,Longri/cachebox3.0,50
305,eXist-db/exist,49
113,OmniKryptec/OmniKryptec-Engine,49
274,crate/crate,49
499,openpnp/openpnp,48
123,ProtocolSupport/ProtocolSupport,48
149,TechReborn/TechReborn,48
243,bozimmerman/CoffeeMud,48
539,redisson/redisson,48
128,Samourai-Wallet/samourai-wallet-android,48
57,FreeCol/freecol,47
458,micrometer-metrics/micrometer,46
660,zalando/nakadi,46
568,sk89q/CommandHelper,45
599,synyx/urlaubsverwaltung,45
351,google/science-journal,45
572,skylot/jadx,45
273,craftercms/studio2,45
28,CenturyLinkCloud/mdw,44
469,neo4j/neo4j-java-driver,44
365,gurkenlabs/litiengine,44
303,dzhw/metadatamanagement,43
153,Transkribus/TranskribusSwtGui,43
20,BiglySoftware/BiglyBT,43
358,graknlabs/grakn,43
328,forrestguice/SuntimesWidget,42
185,apache/accumulo,41
342,google/closure-templates,41
517,phoenixctms/ctsms,39
121,Peergos/Peergos,39
267,commons-app/apps-android-commons,39
167,actiontech/dble,39
181,andstatus/andstatus,39
250,cacheflowe/haxademic,39
434,languagetool-org/languagetool,38
175,alibaba/canal,38
347,google/ground-android,37
64,GoldenGnu/jeveassets,37
63,GoldRenard/JuniperBotJ,37
453,mcMMO-Dev/mcMMO,36
563,servinglynk/servinglynk-hmis,36
556,schwabdidier/GazePlay,36
367,haifengl/smile,36
631,webfirmframework/wff,36
234,bitrich-info/xchange-stream,36
143,Tamaized/AoV,35
405,jitsi/jitsi-videobridge,35
46,EBIBioSamples/biosamples-v4,35
442,liquibase/liquibase,35
201,apache/samza,35
647,wso2/siddhi,34
242,bozaro/git-as-svn,34
192,apache/hadoop,34
522,ppatierno/kaas,34
5,Adyen/adyen-java-api-library,33
54,FabioZumbi12/RedProtect,33
440,line/armeria,33
135,SonarSource/sonarqube,33
35,Commonjava/indy,33
320,facebook/litho,33
109,Netflix/conductor,33
399,jdmonin/JSettlers2,32
92,Mantaro/MantaroBot,32
417,kbase/workspace_deluxe,32
136,Sp2000/colplus-backend,32
148,TechReborn/RebornCore,32
262,cismet/cids-custom-wuppertal,32
42,DV8FromTheWorld/JDA,32
278,cuba-platform/cuba,32
166,ac2cz/FoxTelem,32
118,PDXFinder/pdxfinder,32
454,mediathekview/MediathekView,32
567,sirixdb/sirix,31
533,reactor/reactor-netty,31
336,giiwa/giiwa,31
369,hazelcast/hazelcast-jet,31
451,material-components/material-components-android,31
437,lessthanoptimal/BoofCV,31
359,graphhopper/graphhopper,30
266,codenameone/CodenameOne,30
231,bendisposto/prob2-ui,30
204,apache/syncope,30
164,ZFGCCP/ZFGC3,29
598,synthetichealth/synthea,29
43,DataVault/datavault,29
648,wyvernlang/wyvern,29
500,opensourceBIM/BIMserver,29
299,dimagi/commcare-android,29
318,fabric8io/kubernetes-client,29
356,graalvm/fastr,29
3,ATLauncher/ATLauncher,29
91,MSG134/IVCT_Framework,28
66,GoogleCloudPlatform/storage-sdrs,28
666,zielu/GitToolBox,28
560,seata/seata,28
547,reportportal/service-authorization,28
270,conveyal/r5,28
418,kermitt2/grobid,28
501,openthinclient/openthinclient-manager,28
117,PCLuddite/baxshops,27
10,Alluxio/alluxio,27
187,apache/calcite,27
482,objective-solutions/taskboard,27
429,kriztan/Pix-Art-Messenger,27
637,wordpress-mobile/WordPress-FluxC-Android,27
623,voyages-sncf-technologies/hesperides,27
313,estatio/estatio,27
505,otavanopisto/pyramus,27
607,thm-projects/arsnova-backend,26
360,graphql-java/graphql-java,26
378,igniterealtime/Openfire,26
71,HedvigInsurance/bot-service,26
67,GoogleContainerTools/jib,26
345,google/framework-for-osdu,26
6,Aeronica/mxTune,26
529,raoulvdberge/refinedstorage,25
33,CognizantOneDevOps/Insights,25
392,jaamsim/jaamsim,25
485,oncokb/oncokb,25
456,metaborg/nabl,24
574,snowflakedb/snowflake-jdbc,24
538,reasonml-editor/reasonml-idea-plugin,24
225,bbottema/simple-java-mail,24
371,henrichg/PhoneProfiles,24
236,blackducksoftware/hub-jira,24
161,Whiley/WhileyCompiler,24
649,xXKeyleXx/MyPet,24
651,xwiki/xwiki-platform,23
443,lucee/Lucee,23
100,Minecolonies/minecolonies,23
22,BrassGoggledCoders/SteamAgeRevolution,23
125,RoboZonky/robozonky,23
605,theScrabi/NewPipe,23
4,AVnetWS/Hentoid,23
21,BjerknesClimateDataCentre/QuinCe,23
364,grpc/grpc-java,23
53,FINRAOS/herd,23
159,UweTrottmann/SeriesGuide,22
150,TelefonicaED/liferaylms-portlet,22
134,SleepyTrousers/EnderIO,22
555,savoirfairelinux/ring-client-android,22
290,datastax/java-driver,22
461,mlhartme/stool,22
377,ibissource/iaf,22
259,chrisj42/minicraft-plus-revived,21
324,fogbeam/cas_mirror,21
141,TGAC/miso-lims,21
195,apache/incubator-shardingsphere,21
487,ontodev/robot,21
580,spotify/styx,21
541,rememberber/WePush,20
61,GluuFederation/oxAuth,20
323,flutter/flutter-intellij,20
506,ow2-proactive/scheduling,20
306,eclipse/kapua,20
463,msaperst/selenified,20
304,eMoflon/emoflon-ibex,20
374,hneemann/Digital,20
314,exch-bms2/beatoraja,20
