first_bug_hit_ratio,second_bug_hit_ratio,file
0.36,0.29,5
0.36,0.3,11
0.36,0.31,4
0.36,0.32,2
0.36,0.33,8
0.36,0.34,2
0.36,0.35,5
0.36,0.36,3
0.36,0.37,2
0.36,0.38,2
0.36,0.39,1
0.36,0.4,6
0.36,0.41,1
0.36,0.42,4
0.36,0.43,4
0.36,0.44,2
0.36,0.45,4
0.36,0.46,3
0.36,0.47,2
0.36,0.5,2
0.36,0.54,2
0.36,0.57,1
0.36,0.65,1
0.37,0.0,5
0.37,0.05,2
0.37,0.08,3
0.37,0.09,4
0.37,0.1,3
0.37,0.11,1
0.37,0.12,1
0.37,0.14,2
0.37,0.15,1
0.37,0.18,1
0.37,0.19,1
0.37,0.2,6
0.37,0.21,1
0.37,0.22,3
0.37,0.23,4
0.37,0.25,1
0.37,0.26,1
0.37,0.27,5
0.37,0.28,1
0.37,0.29,2
0.37,0.3,2
0.37,0.31,3
0.37,0.32,1
0.37,0.33,2
0.37,0.35,1
0.37,0.36,2
0.37,0.38,2
0.37,0.41,1
0.37,0.42,2
0.37,0.43,2
0.37,0.44,2
0.37,0.45,1
0.37,0.47,2
0.37,0.5,1
0.37,0.53,1
0.38,0.0,18
0.38,0.03,2
0.38,0.04,1
0.38,0.05,4
0.38,0.06,4
0.38,0.07,5
0.38,0.08,9
0.38,0.09,4
0.38,0.1,2
0.38,0.11,2
0.38,0.12,4
0.38,0.13,5
0.38,0.14,5
0.38,0.15,6
0.38,0.16,3
0.38,0.17,4
0.38,0.18,9
0.38,0.19,5
0.38,0.2,2
0.38,0.21,4
0.38,0.22,3
0.38,0.23,5
0.38,0.24,2
0.38,0.25,7
0.38,0.26,2
0.38,0.27,5
0.38,0.28,3
0.38,0.29,4
0.38,0.3,7
0.38,0.31,7
0.38,0.32,2
0.38,0.33,6
0.38,0.35,5
0.38,0.36,5
0.38,0.37,2
0.38,0.38,4
0.38,0.39,3
0.38,0.4,5
0.38,0.41,5
0.38,0.42,3
0.38,0.46,2
0.38,0.47,2
0.38,0.5,6
0.38,0.53,2
0.38,0.56,1
0.38,0.57,1
0.38,0.58,1
0.38,0.62,1
0.38,0.68,1
0.38,0.7,1
0.38,0.77,1
0.39,0.0,7
0.39,0.03,1
0.39,0.04,1
0.39,0.06,1
0.39,0.07,4
0.39,0.09,3
0.39,0.1,3
0.39,0.11,4
0.39,0.12,1
0.39,0.15,2
0.39,0.16,1
0.39,0.17,4
0.39,0.18,4
0.39,0.19,2
0.39,0.2,4
0.39,0.21,3
0.39,0.23,3
0.39,0.25,4
0.39,0.26,4
0.39,0.27,4
0.39,0.28,2
0.39,0.29,1
0.39,0.31,1
0.39,0.33,2
0.39,0.36,2
0.39,0.37,1
0.39,0.38,1
0.39,0.4,6
0.39,0.41,1
0.39,0.42,1
0.39,0.45,1
0.39,0.46,1
0.39,0.48,1
0.39,0.5,1
0.39,0.56,1
0.39,0.63,1
0.39,0.69,1
0.4,0.0,49
0.4,0.01,1
0.4,0.03,2
0.4,0.04,1
0.4,0.05,5
0.4,0.06,4
0.4,0.07,10
0.4,0.08,8
0.4,0.09,10
0.4,0.1,8
0.4,0.11,3
0.4,0.12,6
0.4,0.13,7
0.4,0.14,5
0.4,0.15,6
0.4,0.16,1
0.4,0.17,6
0.4,0.18,5
0.4,0.19,2
0.4,0.2,12
0.4,0.21,5
0.4,0.22,2
0.4,0.23,7
0.4,0.24,4
0.4,0.25,8
0.4,0.26,9
0.4,0.27,11
0.4,0.28,3
0.4,0.29,18
0.4,0.3,11
0.4,0.31,10
0.4,0.32,6
0.4,0.33,4
0.4,0.35,4
0.4,0.36,9
0.4,0.37,1
0.4,0.38,10
0.4,0.39,1
0.4,0.4,14
0.4,0.41,3
0.4,0.42,9
0.4,0.43,3
0.4,0.44,2
0.4,0.45,4
0.4,0.46,1
0.4,0.47,11
0.4,0.48,2
0.4,0.5,7
0.4,0.51,1
0.4,0.52,1
0.4,0.54,2
0.4,0.55,1
0.4,0.56,2
0.4,0.57,1
0.4,0.58,3
0.4,0.59,6
0.4,0.61,2
0.4,0.63,1
0.4,0.64,7
0.4,0.65,2
0.4,0.67,12
0.4,0.68,3
0.4,0.69,3
0.4,0.7,63
0.4,0.78,1
0.41,0.0,3
0.41,0.04,2
0.41,0.05,1
0.41,0.06,2
0.41,0.09,1
0.41,0.1,2
0.41,0.11,1
0.41,0.12,1
0.41,0.14,1
0.41,0.15,1
0.41,0.16,1
0.41,0.17,2
0.41,0.18,2
0.41,0.19,2
0.41,0.2,4
0.41,0.21,2
0.41,0.22,2
0.41,0.23,3
0.41,0.25,3
0.41,0.26,2
0.41,0.27,2
0.41,0.28,1
0.41,0.29,2
0.41,0.3,2
0.41,0.33,4
0.41,0.34,1
0.41,0.35,1
0.41,0.36,5
0.41,0.43,1
0.41,0.44,2
0.41,0.47,2
0.41,0.62,1
0.41,0.64,1
0.41,0.91,1
0.42,0.0,17
0.42,0.03,2
0.42,0.04,3
0.42,0.05,3
0.42,0.06,4
0.42,0.07,1
0.42,0.08,3
0.42,0.09,6
0.42,0.1,3
0.42,0.11,3
0.42,0.13,2
0.42,0.15,1
0.42,0.16,1
0.42,0.17,2
0.42,0.18,6
0.42,0.19,3
0.42,0.2,4
0.42,0.21,1
0.42,0.22,1
0.42,0.23,3
0.42,0.24,4
0.42,0.25,4
0.42,0.26,1
0.42,0.27,4
0.42,0.28,1
0.42,0.29,4
0.42,0.3,3
0.42,0.31,5
0.42,0.33,3
0.42,0.35,1
0.42,0.36,2
0.42,0.38,1
0.42,0.39,1
0.42,0.4,1
0.42,0.41,1
0.42,0.44,2
0.42,0.45,1
0.42,0.47,2
0.42,0.52,1
0.42,0.53,2
0.42,0.54,1
0.42,0.62,1
0.42,0.75,2
0.42,0.78,1
0.43,0.0,2
0.43,0.06,1
0.43,0.07,4
0.43,0.08,2
0.43,0.09,2
0.43,0.1,3
0.43,0.11,1
0.43,0.12,2
0.43,0.13,2
0.43,0.14,6
0.43,0.15,3
0.43,0.16,3
0.43,0.17,3
0.43,0.18,2
0.43,0.19,1
0.43,0.21,4
0.43,0.23,1
0.43,0.24,1
0.43,0.25,1
0.43,0.27,4
0.43,0.29,3
0.43,0.3,3
0.43,0.31,1
0.43,0.32,2
0.43,0.33,2
0.43,0.34,2
0.43,0.36,4
0.43,0.38,1
0.43,0.39,2
0.43,0.4,1
0.43,0.41,2
0.43,0.42,2
0.43,0.43,3
0.43,0.46,1
0.43,0.48,1
0.43,0.5,1
0.43,0.51,1
0.43,0.54,1
0.43,0.55,1
0.43,0.65,1
0.43,0.67,1
0.43,0.71,1
0.43,0.73,1
0.44,0.02,1
0.44,0.03,2
0.44,0.05,1
0.44,0.07,2
0.44,0.08,1
0.44,0.09,1
0.44,0.11,2
0.44,0.12,1
0.44,0.13,2
0.44,0.15,2
0.44,0.18,3
0.44,0.19,1
0.44,0.21,3
0.44,0.24,6
0.44,0.25,2
0.44,0.27,3
0.44,0.29,1
0.44,0.3,4
0.44,0.31,3
0.44,0.32,1
0.44,0.33,1
0.44,0.35,1
0.44,0.36,1
0.44,0.37,1
0.44,0.38,3
0.44,0.4,5
0.44,0.41,3
0.44,0.42,1
0.44,0.43,2
0.44,0.44,1
0.44,0.47,1
0.44,0.48,1
0.44,0.55,2
0.44,0.59,1
0.44,0.63,1
0.45,0.0,6
0.45,0.02,1
0.45,0.03,1
0.45,0.05,1
0.45,0.07,2
0.45,0.08,3
0.45,0.09,2
0.45,0.1,6
0.45,0.11,3
0.45,0.13,4
0.45,0.14,2
0.45,0.15,4
0.45,0.17,4
0.45,0.18,3
0.45,0.19,2
0.45,0.2,5
0.45,0.21,3
0.45,0.22,1
0.45,0.23,1
0.45,0.25,2
0.45,0.26,1
0.45,0.27,1
0.45,0.28,2
0.45,0.29,2
0.45,0.3,5
0.45,0.31,5
0.45,0.32,4
0.45,0.33,6
0.45,0.35,1
0.45,0.38,2
0.45,0.39,1
0.45,0.4,2
0.45,0.41,2
0.45,0.42,1
0.45,0.43,1
0.45,0.44,2
0.45,0.45,1
0.45,0.47,2
0.45,0.48,2
0.45,0.5,2
0.45,0.69,1
0.45,0.83,1
0.46,0.0,7
0.46,0.05,2
0.46,0.07,2
0.46,0.08,2
0.46,0.09,1
0.46,0.1,1
0.46,0.11,1
0.46,0.13,1
0.46,0.15,1
0.46,0.17,3
0.46,0.18,1
0.46,0.19,2
0.46,0.2,1
0.46,0.21,2
0.46,0.22,1
0.46,0.24,1
0.46,0.25,4
0.46,0.26,1
0.46,0.27,5
0.46,0.28,3
0.46,0.3,1
0.46,0.31,1
0.46,0.33,2
0.46,0.35,1
0.46,0.36,2
0.46,0.38,3
0.46,0.4,2
0.46,0.42,2
0.46,0.45,1
0.46,0.47,1
0.46,0.5,2
0.46,0.52,1
0.46,0.56,1
0.46,0.75,1
0.47,0.0,6
0.47,0.04,1
0.47,0.05,2
0.47,0.06,1
0.47,0.08,4
0.47,0.09,1
0.47,0.1,4
0.47,0.12,2
0.47,0.14,1
0.47,0.17,1
0.47,0.18,3
0.47,0.19,2
0.47,0.2,4
0.47,0.21,5
0.47,0.22,2
0.47,0.23,2
0.47,0.24,2
0.47,0.25,1
0.47,0.27,2
0.47,0.28,1
0.47,0.29,3
0.47,0.3,3
0.47,0.31,1
0.47,0.32,2
0.47,0.34,1
0.47,0.35,2
0.47,0.36,3
0.47,0.38,3
0.47,0.39,3
0.47,0.41,1
0.47,0.44,1
0.47,0.45,2
0.47,0.47,1
0.47,0.49,1
0.47,0.52,1
0.47,0.54,1
0.47,0.56,1
0.47,0.59,1
0.47,0.6,2
0.47,0.61,1
0.47,0.75,1
0.47,0.8,2
0.48,0.0,6
0.48,0.05,1
0.48,0.08,2
0.48,0.11,1
0.48,0.12,2
0.48,0.13,1
0.48,0.15,2
0.48,0.16,1
0.48,0.18,1
0.48,0.2,1
0.48,0.21,1
0.48,0.25,2
0.48,0.27,1
0.48,0.28,1
0.48,0.29,3
0.48,0.3,1
0.48,0.31,3
0.48,0.33,2
0.48,0.36,2
0.48,0.37,1
0.48,0.39,1
0.48,0.4,3
0.48,0.41,1
0.48,0.45,1
0.48,0.46,1
0.48,0.58,1
0.49,0.07,1
0.49,0.2,2
0.49,0.35,1
0.49,0.37,1
0.49,0.44,1
0.49,0.74,1
0.5,0.0,14
0.5,0.05,3
0.5,0.06,6
0.5,0.07,2
0.5,0.08,2
0.5,0.09,2
0.5,0.1,6
0.5,0.11,1
0.5,0.12,1
0.5,0.13,1
0.5,0.14,7
0.5,0.15,10
0.5,0.17,6
0.5,0.18,9
0.5,0.19,1
0.5,0.2,4
0.5,0.21,5
0.5,0.22,3
0.5,0.23,4
0.5,0.24,5
0.5,0.25,8
0.5,0.26,3
0.5,0.27,5
0.5,0.29,8
0.5,0.3,3
0.5,0.31,4
0.5,0.32,2
0.5,0.33,5
0.5,0.34,1
0.5,0.35,5
0.5,0.36,7
0.5,0.37,3
0.5,0.38,4
0.5,0.39,3
0.5,0.4,8
0.5,0.41,2
0.5,0.42,6
0.5,0.43,1
0.5,0.44,4
0.5,0.45,5
0.5,0.48,1
0.5,0.49,1
0.5,0.5,1
0.5,0.52,1
0.5,0.54,2
0.5,0.55,1
0.5,0.57,1
0.5,0.6,1
0.5,0.61,1
0.5,0.63,2
0.5,0.69,1
0.51,0.29,1
0.51,0.31,1
0.51,0.37,1
0.52,0.0,1
0.52,0.04,1
0.52,0.14,1
0.52,0.17,1
0.52,0.21,2
0.52,0.23,1
0.52,0.24,1
0.52,0.27,1
0.52,0.3,2
0.52,0.33,2
0.52,0.35,3
0.52,0.36,1
0.52,0.38,2
0.52,0.39,1
0.52,0.41,1
0.52,0.5,1
0.52,0.64,1
0.53,0.0,4
0.53,0.03,1
0.53,0.08,2
0.53,0.1,3
0.53,0.11,1
0.53,0.13,1
0.53,0.14,2
0.53,0.16,1
0.53,0.17,1
0.53,0.18,1
0.53,0.22,2
0.53,0.24,1
0.53,0.25,2
0.53,0.27,4
0.53,0.28,1
0.53,0.29,2
0.53,0.3,1
0.53,0.31,2
0.53,0.33,1
0.53,0.34,2
0.53,0.35,1
0.53,0.36,1
0.53,0.37,1
0.53,0.38,1
0.53,0.41,1
0.53,0.44,1
0.53,0.46,1
0.53,0.47,1
0.53,0.49,1
0.54,0.0,4
0.54,0.03,1
0.54,0.04,1
0.54,0.05,1
0.54,0.18,1
0.54,0.21,1
0.54,0.24,1
0.54,0.27,1
0.54,0.3,4
0.54,0.31,1
0.54,0.32,1
0.54,0.33,3
0.54,0.35,1
0.54,0.38,1
0.54,0.4,1
0.54,0.42,1
0.54,0.43,1
0.54,0.45,1
0.54,0.48,1
0.54,0.5,3
0.54,0.55,1
0.54,0.8,1
0.55,0.0,6
0.55,0.04,2
0.55,0.06,1
0.55,0.09,3
0.55,0.1,1
0.55,0.13,1
0.55,0.19,2
0.55,0.2,2
0.55,0.21,3
0.55,0.22,1
0.55,0.23,1
0.55,0.24,1
0.55,0.25,2
0.55,0.27,4
0.55,0.29,2
0.55,0.3,2
0.55,0.31,1
0.55,0.32,1
0.55,0.33,1
0.55,0.36,2
0.55,0.37,1
0.55,0.38,3
0.55,0.4,4
0.55,0.41,1
0.55,0.47,2
0.55,0.53,1
0.55,0.62,1
0.55,0.65,1
0.55,0.73,1
0.56,0.0,1
0.56,0.1,1
0.56,0.15,1
0.56,0.17,1
0.56,0.2,1
0.56,0.23,1
0.56,0.3,1
0.56,0.31,3
0.56,0.32,1
0.56,0.33,2
0.56,0.34,1
0.56,0.39,2
0.56,0.4,1
0.56,0.43,1
0.56,0.46,1
0.56,0.48,1
0.56,0.5,1
0.56,0.51,1
0.56,0.57,1
0.56,0.58,1
0.57,0.08,1
0.57,0.14,1
0.57,0.15,1
0.57,0.16,1
0.57,0.18,2
0.57,0.19,1
0.57,0.23,2
0.57,0.24,1
0.57,0.26,1
0.57,0.28,2
0.57,0.36,2
0.57,0.37,1
0.57,0.38,1
0.57,0.41,1
0.57,0.42,1
0.57,0.44,1
0.57,0.46,1
0.57,0.47,1
0.57,0.73,1
0.57,0.8,1
0.58,0.0,1
0.58,0.07,1
0.58,0.08,1
0.58,0.12,1
0.58,0.13,1
0.58,0.19,1
0.58,0.2,1
0.58,0.22,2
0.58,0.25,2
0.58,0.27,2
0.58,0.28,1
0.58,0.29,1
0.58,0.3,6
0.58,0.31,1
0.58,0.33,1
0.58,0.35,1
0.58,0.36,1
0.58,0.4,1
0.58,0.41,2
0.58,0.42,3
0.58,0.45,1
0.58,0.46,1
0.58,0.5,1
0.58,0.53,1
0.58,0.54,1
0.58,0.63,1
0.59,0.0,1
0.59,0.08,1
0.59,0.13,1
0.59,0.14,1
0.59,0.17,1
0.59,0.21,1
0.59,0.25,1
0.59,0.3,1
0.59,0.33,1
0.59,0.39,1
0.59,0.4,1
0.59,0.42,1
0.59,0.47,1
0.59,0.49,1
0.59,0.55,1
0.59,0.56,1
0.59,0.68,1
0.6,0.0,4
0.6,0.06,1
0.6,0.08,1
0.6,0.1,1
0.6,0.12,1
0.6,0.13,2
0.6,0.16,1
0.6,0.18,2
0.6,0.24,1
0.6,0.25,2
0.6,0.26,1
0.6,0.27,4
0.6,0.3,3
0.6,0.33,1
0.6,0.35,1
0.6,0.36,1
0.6,0.4,1
0.6,0.43,1
0.6,0.44,1
0.6,0.45,1
0.6,0.47,1
0.6,0.5,2
0.6,0.56,1
0.6,0.58,1
0.61,0.0,1
0.61,0.06,1
0.61,0.25,1
0.61,0.26,1
0.61,0.3,1
0.61,0.38,1
0.61,0.44,1
0.61,0.45,1
0.61,0.61,1
0.62,0.0,1
0.62,0.07,1
0.62,0.12,1
0.62,0.13,1
0.62,0.17,1
0.62,0.21,1
0.62,0.23,1
0.62,0.24,2
0.62,0.26,1
0.62,0.34,1
0.62,0.36,1
0.62,0.47,1
0.62,0.48,1
0.62,0.5,1
0.62,0.52,1
0.62,0.55,1
0.63,0.13,1
0.63,0.16,1
0.63,0.18,2
0.63,0.21,1
0.63,0.26,1
0.63,0.27,2
0.63,0.3,1
0.63,0.32,1
0.63,0.36,1
0.63,0.39,1
0.63,0.41,1
0.63,0.42,1
0.63,0.43,1
0.63,0.44,1
0.63,0.47,1
0.63,0.55,2
0.63,0.69,1
0.63,0.83,1
0.64,0.0,2
0.64,0.05,2
0.64,0.09,2
0.64,0.1,1
0.64,0.13,1
0.64,0.16,1
0.64,0.17,2
0.64,0.19,1
0.64,0.24,2
0.64,0.25,1
0.64,0.27,2
0.64,0.33,1
0.64,0.38,2
0.64,0.41,1
0.64,0.42,1
0.64,0.43,1
0.64,0.54,1
0.64,0.58,1
0.64,0.62,1
0.64,0.67,1
0.64,0.68,2
0.64,0.75,1
0.65,0.0,1
0.65,0.05,1
0.65,0.23,1
0.65,0.29,2
0.65,0.42,1
0.65,0.5,1
0.65,0.54,1
0.65,0.64,1
0.65,0.69,1
0.66,0.53,1
0.66,0.54,1
0.67,0.05,1
0.67,0.1,1
0.67,0.19,1
0.67,0.2,1
0.67,0.24,2
0.67,0.45,1
0.67,0.46,1
0.67,0.47,1
0.67,0.54,1
0.67,0.62,1
0.68,0.22,1
0.68,0.29,1
0.68,0.32,1
0.68,0.35,1
0.68,0.4,1
0.68,0.44,1
0.68,0.71,1
0.69,0.0,1
0.69,0.17,2
0.69,0.26,1
0.69,0.3,1
0.69,0.32,1
0.69,0.6,1
0.7,0.0,2
0.7,0.07,1
0.7,0.08,1
0.7,0.1,1
0.7,0.13,1
0.7,0.21,1
0.7,0.28,1
0.7,0.29,1
0.7,0.4,1
0.71,0.0,1
0.71,0.1,1
0.71,0.36,1
0.71,0.41,1
0.71,0.43,1
0.71,0.49,1
0.71,0.57,1
0.71,0.82,1
0.72,0.47,1
0.72,0.48,1
0.73,0.07,1
0.73,0.15,1
0.73,0.35,1
0.73,0.54,1
0.73,0.62,1
0.73,0.67,1
0.74,0.5,1
0.75,0.22,1
0.75,0.33,1
0.75,0.34,1
0.75,0.36,1
0.75,0.47,2
0.75,0.5,1
0.75,0.61,1
0.75,0.63,1
0.75,0.65,1
0.76,0.29,1
0.77,0.0,1
0.77,0.36,1
0.79,0.25,1
0.8,0.33,2
0.8,0.43,1
0.8,0.52,1
0.8,0.54,1
0.8,0.55,1
0.8,0.62,1
0.82,0.19,1
0.82,0.3,1
0.83,0.46,1
0.85,0.47,1
0.9,0.53,1
0.91,0.31,1
1.0,0.25,1
