,hotspot,other,riskfree,decreasing,increasing
AvoidStarImport,0.0009562024968884741,0.00199365284191916,0.0010527393070495859,False,False
AvoidStaticImport,0.007559202932664142,0.01961222623847887,0.01009356771185672,False,False
CovariantEquals,0.0,0.0,0.0,True,True
SuperClone,1.3819426048095415e-05,6.77999557640172e-06,0.0,True,False
AnnotationOnSameLine,0.03245086265763262,0.048418849215633455,0.04053687710339058,False,False
ArrayTypeStyle,7.920189769371354e-05,5.0327381495000874e-05,7.633368372103038e-05,False,False
InterfaceMemberImpliedModifier,0.004379847599674445,0.01820641978020512,0.01749148326332049,False,False
AnnotationUseStyle,0.000337811328714031,0.00024800049093818817,0.0003263157965448409,False,False
FileTabCharacter,0.0001681800487916469,0.0009233113439421516,0.0017856837207099055,False,True
ExplicitInitialization,0.0012557090919561172,0.0005384465877944881,0.0012887296118334233,False,False
SeparatorWrap,0.0221877161854196,0.03026461252851871,0.023174346298610517,False,False
HiddenField,0.009054877423582531,0.01158132529754743,0.01249119960047423,False,True
MissingSwitchDefault,0.00013600412833007184,0.00011341639543682583,0.0001026140169062202,True,False
ParenPad,0.0013020928228930774,0.0023063406729924916,0.005442302809019248,False,True
DesignForExtension,0.01736947649081554,0.027918092191732708,0.034487849685155364,False,True
EmptyLineSeparator,0.019552993623867265,0.017928139073864497,0.019066371007399975,False,False
IllegalToken,0.0,4.810784574142145e-06,2.7584778029863674e-06,False,False
LocalVariableName,0.0004599962366260197,0.00017469764187534104,0.00019173602882191368,False,False
ReturnCount,0.0013399518341560227,0.0010210263628962013,0.0014445384134619567,False,False
StaticVariableName,0.00030390627156732413,0.00014816160865290795,0.0002961548261501626,False,False
NoClone,2.6577642535793743e-05,8.185242742192348e-06,3.185013364500535e-05,False,False
NewlineAtEndOfFile,0.00046828993558411207,0.0016408469870868143,0.0011282104985821156,False,False
UnnecessarySemicolonInTryWithResources,0.0,5.0891430149110005e-06,0.0,False,False
ClassMemberImpliedModifier,0.0003552021527173104,0.00017886269069010362,0.00026129486549747243,False,False
MethodLength,0.00012186515906684184,5.008866634778623e-05,7.461631567156321e-05,False,False
ImportControl,0.0067231627259181055,0.012121467275212657,0.01095343682744686,False,False
ModifiedControlVariable,3.87150405356475e-05,3.7887471167942246e-05,1.3697740568972124e-05,True,False
total_sum,0.6575420588746893,0.7611319342579922,0.9114278547500371,False,True
ConstantName,0.0015321153112581225,0.0028366717149656646,0.0026373354957962714,False,False
JavaNCSS,0.00042159158318942874,0.00022224752922968648,0.0003296738008410353,False,False
SuperFinalize,0.0,0.0,0.0,True,True
MagicNumber,0.011391335077957865,0.011317005503193759,0.010656158802278042,True,False
AtclauseOrder,0.00014849919873417852,0.00017312341275989643,0.00017204024359358217,False,False
MethodTypeParameterName,2.7702034757865633e-05,6.76565690216461e-05,9.587637929936727e-05,False,True
LambdaParameterName,1.432167403869888e-05,0.00025067841217959417,0.00016178754550494605,False,False
UncommentedMain,1.9396186124820487e-05,0.00022996927800121318,5.141395710928293e-05,False,False
UpperEll,6.335946533295092e-05,7.231581958144348e-05,2.5517606130705685e-05,False,False
JavadocStyle,0.004634808399818546,0.003504462428792535,0.0030521071897766515,True,False
JavadocTagContinuationIndentation,0.00010134625050404497,0.00017041441116980746,0.00013549483060517318,False,False
NoWhitespaceAfter,0.0006624392039166386,0.0006030836329159145,0.0008438701402843093,False,False
EmptyBlock,6.380869610394176e-05,4.6295705947151874e-05,4.7529651300809575e-05,False,False
Regexp,0.00017146776406035664,0.0,0.0,True,False
CommentsIndentation,0.0002883877260114389,0.00018756962918049517,0.0002646604928698632,False,False
JavadocMethod,0.00908902429054542,0.007196983588444854,0.008822166699622718,False,False
ParameterName,5.337330284287123e-05,8.46181666652038e-05,0.0003565514220444185,False,True
OverloadMethodsDeclarationOrder,0.0003382941227525923,0.0003162305463217167,0.00036173087685473844,False,False
GenericWhitespace,2.2249277343471885e-05,5.510098792805461e-05,7.632737077444018e-05,False,True
VariableDeclarationUsageDistance,0.001345884084226209,0.000895324714201433,0.0010177045030106096,False,False
ParameterNumber,0.0004161548358289049,0.00032665450066307096,0.0002683858940180199,True,False
CatchParameterName,0.00016879861418876702,0.00011472464261744836,0.000126604126460333,False,False
HideUtilityClassConstructor,0.00037142050823820593,0.001210780067703074,0.00025153963251576086,False,False
EqualsHashCode,0.0,8.92711580908531e-06,2.4204608998075534e-05,False,True
OneStatementPerLine,6.007591370087817e-05,2.7087594254955963e-05,0.00014917990117779492,False,False
EmptyForInitializerPad,0.0,0.0,0.0,True,True
ClassTypeParameterName,1.1166694916865751e-05,3.828443239196894e-05,4.2162299238118385e-06,False,False
ArrayTrailingComma,5.634845237388377e-05,0.00025006769168334144,0.00011052647472327877,False,False
AbbreviationAsWordInName,0.0003116518813760915,0.00025890442275312684,0.00037463569112397235,False,False
ParameterAssignment,0.0003280340315960911,0.0002920709242967857,0.0005144645006468382,False,False
SimplifyBooleanExpression,1.3969094254058051e-05,3.842675514125123e-05,3.7015090460964203e-05,False,False
WhitespaceAround,0.005085340513444585,0.0066625642136163895,0.024552256188271702,False,True
Indentation,0.11613795881805415,0.12052813864120826,0.2516123947124375,False,True
TrailingComment,0.0022061213273443583,0.001445548120957291,0.002615165448039676,False,False
OneTopLevelClass,1.101505978974454e-07,7.387501647412867e-08,3.036815406161125e-06,False,False
NoWhitespaceBefore,0.00019931212846178764,0.0001557400465432597,0.0004596207722979355,False,False
OperatorWrap,0.00867897511806919,0.003908274145618129,0.0030956111593655484,True,False
JavadocVariable,0.02982038596453715,0.033915900654686026,0.03737344544300268,False,True
NeedBraces,0.003148463467538788,0.0031058708972095425,0.005319229113641214,False,False
NoFinalizer,0.0,9.230930599851739e-07,2.5287765148027848e-06,False,True
StringLiteralEquality,1.667810603097653e-05,2.4688377891925955e-06,8.995036314085979e-07,True,False
ExecutableStatementCount,0.0007889644880226367,0.0004937567285582769,0.0006502637780319421,False,False
IllegalImport,7.853485376810229e-07,9.516196566556279e-06,1.946547797481167e-06,False,False
SingleLineJavadoc,9.892461145207645e-05,2.7570508768959615e-05,9.190166119546208e-05,False,False
LineLength,0.12608045086718042,0.13477793401604632,0.12216683222799,False,False
MultipleStringLiterals,0.013738560711952912,0.00950082356774285,0.010685932409073505,False,False
AnnotationLocation,1.8707718364707396e-05,0.00017595807105326994,0.0006401693881757894,False,True
LeftCurly,0.0047802805227465245,0.004088360416201631,0.010587375371774677,False,False
IllegalThrows,9.725083081308188e-06,3.969135821285487e-05,6.194262608132063e-05,False,True
NPathComplexity,0.00046689190506575963,0.00024223571708768173,0.0003457602689429029,False,False
InnerTypeLast,0.0048746220872458584,0.002176619491912933,0.0025398403500340094,False,False
MutableException,1.0434143857628195e-06,2.295107701987173e-05,8.674832575731289e-06,False,False
EmptyStatement,3.444843960911395e-05,5.6441802035523814e-05,2.725085922286394e-05,False,False
LocalFinalVariableName,0.00010136933595734739,5.172033010827533e-05,1.6246807940492978e-05,True,False
TypecastParenPad,2.6634619892012593e-07,0.0,5.223066734079048e-07,False,False
FinalLocalVariable,0.05341577150141253,0.04705498310635558,0.037699321043183874,True,False
MethodParamPad,0.00015781155149336906,0.00035445185311759494,0.00026711080785492215,False,False
FinalParameters,0.04903271199604956,0.05255137734015285,0.06368491705534483,False,True
ThrowsCount,1.6244314489928523e-05,1.9368653351188347e-06,1.4302591343499615e-06,True,False
ClassDataAbstractionCoupling,0.0007522136332872158,0.000339809716026618,0.00034799018134799387,False,False
DeclarationOrder,0.0039916110775056355,0.0032153852425164013,0.005037090872088685,False,False
TypeName,0.00012024944068436318,3.584016750768847e-05,7.791475042613224e-05,False,False
MultipleVariableDeclarations,0.00024594546602242076,7.326220349403106e-05,6.154596759057077e-05,True,False
NestedForDepth,5.8135091316536647e-05,3.61442275070313e-05,8.574030029644497e-05,False,False
InvalidJavadocPosition,0.00019140282545833883,6.0235850752252156e-05,9.546739601697747e-05,False,False
MissingJavadocPackage,0.0007716049382716049,0.0,0.0,True,False
InterfaceTypeParameterName,2.7410477380874064e-06,4.065356466627382e-05,2.897807167559761e-05,False,False
OuterTypeFilename,0.0,0.0,0.0,True,True
MemberName,0.0004360584444009318,0.000716775653687854,0.002319281551004687,False,True
JavadocType,6.792148306321129e-05,0.0001639982771806983,5.6906696791336564e-05,False,False
RequireThis,2.8511021990239513e-06,2.259963069446561e-06,2.2759066453439504e-06,False,False
MissingOverride,0.0,5.798303126590003e-06,0.0,False,False
UnnecessaryParentheses,0.0005590716612455806,0.000741360854666394,0.002082010781002537,False,True
AvoidInlineConditionals,0.002115741878433455,0.001588774748803586,0.0020573994096607442,False,False
RedundantImport,1.154133486858789e-05,2.1051321412575553e-05,0.0001207981034882097,False,True
IllegalCatch,0.0013492166184815848,0.0009677842644490766,0.0016626231085746198,False,False
BooleanExpressionComplexity,9.104172004984895e-05,6.147986265666791e-05,5.475735043848047e-05,True,False
EqualsAvoidNull,0.00039300099595816957,0.00015906905239995367,0.0007318812964610132,False,False
MissingJavadocMethod,0.023495138321954764,0.0403416082774066,0.041083885294178495,False,True
FileLength,1.5357573759977828e-05,6.718804489794073e-06,5.658840317765338e-06,True,False
CustomImportOrder,4.1836100666662015e-05,0.00022734991932296298,0.00021594677779889138,False,False
DefaultComesLast,3.187871990477125e-06,4.131013919616538e-06,1.2769353551476457e-05,False,True
JavadocParagraph,0.0012561988303067572,0.0006091286487872929,0.002671960833707831,False,False
UnusedImports,0.0006980043335206761,0.0008853496089201462,0.0004176910555163274,False,False
SimplifyBooleanReturn,1.3685228301276363e-06,5.520493904286363e-06,2.3600003457524094e-06,False,False
InterfaceIsType,0.0,2.036217650893338e-06,1.4784011643603824e-05,False,True
RedundantModifier,0.0011837364976523426,0.0017532597169134063,0.0020921398826195333,False,True
FallThrough,1.304925344320766e-05,3.9242623635823465e-05,1.4844206714751889e-05,False,False
MissingCtor,0.0026324897960068113,0.006245288868647226,0.004290194877511368,False,False
IllegalType,0.00024340811694084034,0.00013616786136681918,0.00044644962277565697,False,False
VisibilityModifier,0.004391527488677829,0.0029425167048037224,0.0036364694604462994,False,False
ClassFanOutComplexity,0.000871664623978969,0.0006470761475656545,0.0005584716287250419,True,False
AvoidNestedBlocks,0.00010349730351337841,0.00013879953930637714,0.00012244098101003975,False,False
NoLineWrap,1.1174582741080447e-06,1.2888688832699964e-06,0.0,False,False
InnerAssignment,4.338166634532892e-05,4.6680744692936826e-05,5.282208976274851e-05,False,True
MethodCount,2.0626400884022926e-05,1.3566799106730718e-05,2.3845438348362877e-05,False,False
NestedIfDepth,0.0017736415000658588,0.0008252737810324724,0.0011593194647487913,False,False
TodoComment,0.0006717406319965133,0.00037651695091227744,0.0002812529091468028,True,False
MissingDeprecated,0.00020106019048647105,3.237145995094692e-05,0.00023946327290669383,False,False
AnonInnerLength,0.00020523971524475393,9.177957084571102e-05,5.8096934461245404e-05,True,False
NonEmptyAtclauseDescription,0.0011584787698695823,0.0022420821592901838,0.002025401869280374,False,False
RightCurly,0.0005991385591581739,0.0010366250735790916,0.0013615542854728139,False,True
EmptyCatchBlock,0.00011129741019052661,8.19309227479866e-05,0.0001850891596044574,False,False
WriteTag,0.0030061641271543456,0.006864902906797099,0.007364692029700475,False,True
AvoidEscapedUnicodeCharacters,1.8129952800602826e-05,4.300767291374069e-06,8.104489021732165e-06,False,False
ImportOrder,0.010040717975385338,0.020041150983460123,0.015057879957295824,False,False
SummaryJavadoc,0.005706958364853036,0.0038441513028556846,0.004349592347559065,False,False
JavadocPackage,0.0011958588121161152,0.0034180120997849167,0.0024481098538952223,False,False
OuterTypeNumber,2.0367546884632505e-06,7.387501647412867e-08,3.036815406161125e-06,False,False
WhitespaceAfter,0.0012840342207997874,0.0019108982742552301,0.007584411613436472,False,True
MissingJavadocType,0.0022738467384618138,0.006408424533008399,0.006717747558113607,False,True
EmptyForIteratorPad,6.532288679624487e-05,1.1097225227941504e-05,5.873538439162848e-05,False,False
CyclomaticComplexity,0.0007069887626024438,0.0004501577831650253,0.0005980582926015098,False,False
SingleSpaceSeparator,0.0029524710729795663,0.002332743430041542,0.002688872692924817,False,False
AbstractClassName,0.00027499988925114245,0.00044731130168794615,0.00030267977456869085,False,False
UnnecessarySemicolonInEnumeration,9.753930379261952e-06,3.361492201433304e-05,5.860052668269852e-06,False,False
PackageDeclaration,0.0003810713341400956,2.2789150664650435e-05,0.0,True,False
ModifierOrder,0.0004021198033983242,0.00020933648476257233,0.0007660866250402304,False,False
FinalClass,0.0005540858821680144,0.0005077332014165764,0.0003734189053545981,True,False
NestedTryDepth,9.13480029751924e-05,1.4666884808081524e-05,9.94092893078086e-06,True,False
