feature,Pearson
file_ccp_cmp,1.0
JavadocStyle_cmp,0.2141242368762567
EmptyLineSeparator_cmp,0.20002088620712735
MissingJavadocMethod_cmp,0.1453969844254877
HiddenField_cmp,0.13809378592652238
AtclauseOrder_cmp,0.1353746518211383
AnnotationOnSameLine_cmp,0.12940288610218717
TrailingComment_cmp,0.12698816550973946
ReturnCount_cmp,0.12539832599549208
JavadocMethod_cmp,0.11422398581758023
MagicNumber_cmp,0.11203940124358973
SummaryJavadoc_cmp,0.1119370165742203
JavaNCSS_cmp,0.10892394786662048
ExecutableStatementCount_cmp,0.10739297163087136
CyclomaticComplexity_cmp,0.1006820403885244
NestedIfDepth_cmp,0.09992108870294032
JavadocParagraph_cmp,0.09941069827008807
FinalParameters_cmp,0.09785352819890657
NonEmptyAtclauseDescription_cmp,0.09756871623369542
WhitespaceAround_cmp,0.09707159576148944
FinalLocalVariable_cmp,0.09513594069155946
MultipleStringLiterals_cmp,0.09459259951384048
NPathComplexity_cmp,0.09212777572592157
DesignForExtension_cmp,0.09144789453126409
AnonInnerLength_cmp,0.08914929976191648
ParameterAssignment_cmp,0.08730289496446825
WriteTag_cmp,0.08491332757730666
ClassDataAbstractionCoupling_cmp,0.0848953527384074
UnnecessaryParentheses_cmp,0.08378746234740575
IllegalCatch_cmp,0.08203857083468731
MissingCtor_cmp,0.0818434403909587
MissingJavadocType_cmp,0.08033631205130864
EmptyCatchBlock_cmp,0.08014190935117177
InnerAssignment_cmp,0.07565692036529831
VisibilityModifier_cmp,0.07555779250093524
ClassFanOutComplexity_cmp,0.0750784419293466
SingleSpaceSeparator_cmp,0.07340809834636285
AvoidInlineConditionals_cmp,0.07278099631627843
Indentation_cmp,0.07036732154191842
ExplicitInitialization_cmp,0.06970032031468176
LocalFinalVariableName_cmp,0.06947808873264996
AvoidNestedBlocks_cmp,0.06662568528380017
IllegalType_cmp,0.06598844644979233
AvoidStaticImport_cmp,0.06553730050860963
NeedBraces_cmp,0.06503379615429919
BooleanExpressionComplexity_cmp,0.06387258800791278
AvoidStarImport_cmp,0.06358141594810011
FileLength_cmp,0.06297384040268644
MethodLength_cmp,0.06007773789836914
InnerTypeLast_cmp,0.05921948504984608
NoWhitespaceAfter_cmp,0.05837009668808029
IllegalToken_cmp,0.058339361212469305
LocalVariableName_cmp,0.05735938658869124
TodoComment_cmp,0.056698211662099575
RedundantModifier_cmp,0.05154679577181869
MethodName_cmp,0.05084262380107605
ClassMemberImpliedModifier_cmp,0.05057394435523174
MultipleVariableDeclarations_cmp,0.0497439575265822
MissingSwitchDefault_cmp,0.04932731155655649
FallThrough_cmp,0.04856124153064002
OneStatementPerLine_cmp,0.0477778715752312
CatchParameterName_cmp,0.047003979768769945
NestedForDepth_cmp,0.04634183515262602
ConstantName_cmp,0.04449099390834095
ParenPad_cmp,0.04373273348873108
SuperClone_cmp,0.04288536910184323
HideUtilityClassConstructor_cmp,0.04220283615835421
ParameterNumber_cmp,0.04172261929561913
RightCurly_cmp,0.038456547720537956
VariableDeclarationUsageDistance_cmp,0.037769947742160234
FinalClass_cmp,0.03748187191435924
StaticVariableName_cmp,0.037415790857207656
EmptyBlock_cmp,0.03638593674792019
AbstractClassName_cmp,0.03544589894855087
NoClone_cmp,0.03379064917265143
SingleLineJavadoc_cmp,0.03157104848267983
UnusedImports_cmp,0.030368257484989385
MethodCount_cmp,0.029945544002722688
OverloadMethodsDeclarationOrder_cmp,0.02930513060471391
GenericWhitespace_cmp,0.0292173939315452
FileTabCharacter_cmp,0.028642025339555576
DefaultComesLast_cmp,0.028435212645135006
ModifierOrder_cmp,0.028317350863454094
UnnecessarySemicolonInEnumeration_cmp,0.028268852712521424
MissingJavadocPackage_cmp,0.02788899648131106
EmptyForIteratorPad_cmp,0.02676326870689635
MethodParamPad_cmp,0.026502299344547266
AbbreviationAsWordInName_cmp,0.026290284889281253
CommentsIndentation_cmp,0.026271528510309596
ParameterName_cmp,0.026016047916760106
LambdaParameterName_cmp,0.025734499038231294
JavadocPackage_cmp,0.024630829965814567
RequireThis_cmp,0.023666314418335138
AnnotationUseStyle_cmp,0.022980845141328393
ModifiedControlVariable_cmp,0.02229373254350867
EqualsAvoidNull_cmp,0.021261107538261936
NestedTryDepth_cmp,0.01979900324608069
SimplifyBooleanReturn_cmp,0.019399967642547342
ArrayTrailingComma_cmp,0.018458886214812842
WhitespaceAfter_cmp,0.01782925424743691
ArrayTypeStyle_cmp,0.01624796265925142
SimplifyBooleanExpression_cmp,0.015281252704041619
EmptyForInitializerPad_cmp,0.01528078162882295
MethodTypeParameterName_cmp,0.015133389260799405
OperatorWrap_cmp,0.015084540151363056
StringLiteralEquality_cmp,0.013820635910338067
MissingOverride_cmp,0.013580254040597248
JavadocTagContinuationIndentation_cmp,0.012632508639241797
ThrowsCount_cmp,0.01072421104843486
NoWhitespaceBefore_cmp,0.010671819185666337
ClassTypeParameterName_cmp,0.009998471192114652
MissingDeprecated_cmp,0.009022919258042439
EqualsHashCode_cmp,0.008843119303819763
IllegalThrows_cmp,0.008099290711464143
NoFinalizer_cmp,0.007569458674942731
IllegalImport_cmp,0.007057520797660472
EmptyStatement_cmp,0.006587791991857222
InvalidJavadocPosition_cmp,0.004114537632660516
InterfaceTypeParameterName_cmp,0.0015458572316275592
UpperEll_cmp,0.0013233490756236245
AnnotationLocation_cmp,0.0010127334239172067
CustomImportOrder_cmp,0.00042782384448763333
SuperFinalize_cmp,-0.0020030984648265098
PackageName_cmp,-0.002421996888235991
MutableException_cmp,-0.0025734162702855177
RedundantImport_cmp,-0.0026324766519124293
AvoidEscapedUnicodeCharacters_cmp,-0.0029353170556621387
LeftCurly_cmp,-0.003008737833459698
InterfaceIsType_cmp,-0.0065889282343552175
UncommentedMain_cmp,-0.007295109061457257
TypecastParenPad_cmp,-0.00878218636177633
NewlineAtEndOfFile_cmp,-0.011291817565604967
ImportControl_cmp,-0.011466423628607529
PackageDeclaration_cmp,-0.013940207518070442
InterfaceMemberImpliedModifier_cmp,-0.017997821439180203
LineLength_cmp,-0.019558829623864717
MemberName_cmp,-0.02595847870799541
TypeName_cmp,-0.028699983582694873
SeparatorWrap_cmp,-0.03550192971822955
JavadocVariable_cmp,-0.05384266194363396
JavadocType_cmp,-0.06324683148946356
ImportOrder_cmp,-0.0867905943669635
DeclarationOrder_cmp,-0.08787691308603937
OuterTypeFilename_cmp,
OneTopLevelClass_cmp,
NoLineWrap_cmp,
Regexp_cmp,
UnnecessarySemicolonInTryWithResources_cmp,
SuppressWarnings_cmp,
RegexpOnFilename_cmp,
CovariantEquals_cmp,
OuterTypeNumber_cmp,
