feature,removal_probability,true_positives,false_positives,false_negatives
RegexpOnFilename,1.0,0,0,0
SuppressWarnings,1.0,0,0,0
EmptyForInitializerPad,0.5,3,3,1
UnusedImports,0.42000000000000004,1002,732,650
EqualsHashCode,0.37,132,78,18
IllegalImport,0.32999999999999996,12,6,4
PackageDeclaration,0.31000000000000005,25,11,0
AtclauseOrder,0.29000000000000004,523,209,304
GenericWhitespace,0.25,219,73,46
NoWhitespaceBefore,0.22999999999999998,936,286,178
EmptyStatement,0.20999999999999996,223,61,70
TypecastParenPad,0.20999999999999996,11,3,8
NoLineWrap,0.19999999999999996,16,4,8
SuperClone,0.19999999999999996,80,20,2
MissingDeprecated,0.17000000000000004,733,147,269
UpperEll,0.17000000000000004,72,15,16
ParenPad,0.16000000000000003,1896,350,267
ThrowsCount,0.16000000000000003,150,28,25
ArrayTrailingComma,0.15000000000000002,569,98,72
CommentsIndentation,0.15000000000000002,2340,407,379
InvalidJavadocPosition,0.15000000000000002,680,123,101
MissingOverride,0.15000000000000002,69,12,4
SingleSpaceSeparator,0.15000000000000002,3293,587,502
MethodParamPad,0.14,517,82,115
SimplifyBooleanReturn,0.14,119,19,20
AnnotationLocation,0.13,306,46,82
EmptyBlock,0.13,709,107,112
NewlineAtEndOfFile,0.13,1310,189,141
NoFinalizer,0.13,40,6,3
OneStatementPerLine,0.13,289,43,32
RequireThis,0.13,48,7,9
WhitespaceAfter,0.13,3993,602,567
WhitespaceAround,0.13,5930,901,655
StaticVariableName,0.12,674,89,130
StringLiteralEquality,0.12,76,10,11
FallThrough,0.10999999999999999,173,21,31
SimplifyBooleanExpression,0.10999999999999999,342,41,50
TodoComment,0.10999999999999999,2077,259,299
ArrayTypeStyle,0.09999999999999998,401,43,46
EmptyCatchBlock,0.09999999999999998,933,103,167
EqualsAvoidNull,0.09999999999999998,1273,141,195
JavadocParagraph,0.09999999999999998,5512,601,471
NoWhitespaceAfter,0.09999999999999998,1379,156,187
RightCurly,0.09999999999999998,2956,313,223
AnonInnerLength,0.08999999999999997,2026,204,261
CustomImportOrder,0.08999999999999997,555,55,80
EmptyForIteratorPad,0.08999999999999997,271,28,48
FileTabCharacter,0.08999999999999997,4948,516,120
IllegalThrows,0.08999999999999997,63,6,20
JavadocTagContinuationIndentation,0.08999999999999997,1084,109,216
LeftCurly,0.08999999999999997,3103,307,176
ModifiedControlVariable,0.08999999999999997,450,42,46
ModifierOrder,0.08999999999999997,1438,146,130
RedundantModifier,0.08999999999999997,2231,226,209
VariableDeclarationUsageDistance,0.08999999999999997,2859,271,443
AnnotationUseStyle,0.07999999999999996,580,53,104
AvoidStarImport,0.07999999999999996,3345,297,380
IllegalType,0.07999999999999996,1335,112,182
JavadocPackage,0.07999999999999996,3293,282,102
MultipleVariableDeclarations,0.07999999999999996,853,72,75
MutableException,0.07999999999999996,24,2,4
NestedForDepth,0.07999999999999996,578,53,73
RedundantImport,0.07999999999999996,273,23,29
UnnecessaryParentheses,0.07999999999999996,3148,270,529
UnnecessarySemicolonInEnumeration,0.07999999999999996,110,10,15
CatchParameterName,0.06999999999999995,941,70,120
FinalClass,0.06999999999999995,1141,82,144
LocalVariableName,0.06999999999999995,1118,87,106
NestedTryDepth,0.06999999999999995,381,29,86
NoClone,0.06999999999999995,156,11,15
OverloadMethodsDeclarationOrder,0.06999999999999995,2758,198,425
ParameterName,0.06999999999999995,602,43,54
AvoidNestedBlocks,0.06000000000000005,767,47,88
BooleanExpressionComplexity,0.06000000000000005,1478,92,265
DeclarationOrder,0.06000000000000005,6912,469,729
InnerTypeLast,0.06000000000000005,3006,196,354
JavadocType,0.06000000000000005,490,30,28
LambdaParameterName,0.06000000000000005,46,3,23
LocalFinalVariableName,0.06000000000000005,588,37,82
MemberName,0.06000000000000005,1071,70,103
MethodName,0.06000000000000005,616,36,55
MissingSwitchDefault,0.06000000000000005,1537,97,175
NeedBraces,0.06000000000000005,4352,290,359
NonEmptyAtclauseDescription,0.06000000000000005,2567,162,293
OneTopLevelClass,0.06000000000000005,63,4,14
OperatorWrap,0.06000000000000005,4287,297,576
OuterTypeNumber,0.06000000000000005,63,4,14
SuperFinalize,0.06000000000000005,16,1,3
AvoidEscapedUnicodeCharacters,0.050000000000000044,211,10,21
ExplicitInitialization,0.050000000000000044,3837,196,328
InnerAssignment,0.050000000000000044,892,51,97
JavaNCSS,0.050000000000000044,4425,211,534
MagicNumber,0.050000000000000044,7777,394,596
MethodLength,0.050000000000000044,1899,106,304
NPathComplexity,0.050000000000000044,5017,251,614
ParameterAssignment,0.050000000000000044,3155,183,419
ParameterNumber,0.050000000000000044,2199,123,335
TrailingComment,0.050000000000000044,5665,303,615
VisibilityModifier,0.050000000000000044,6021,328,430
AbbreviationAsWordInName,0.040000000000000036,1038,48,116
AvoidInlineConditionals,0.040000000000000036,8011,293,882
AvoidStaticImport,0.040000000000000036,4952,233,673
ClassDataAbstractionCoupling,0.040000000000000036,5745,248,591
ClassMemberImpliedModifier,0.040000000000000036,1877,77,254
ConstantName,0.040000000000000036,3731,159,363
CyclomaticComplexity,0.040000000000000036,6719,262,707
ExecutableStatementCount,0.040000000000000036,5718,246,666
IllegalCatch,0.040000000000000036,5227,204,560
Indentation,0.040000000000000036,10997,462,546
InterfaceMemberImpliedModifier,0.040000000000000036,2167,84,147
InterfaceTypeParameterName,0.040000000000000036,23,1,1
JavadocMethod,0.040000000000000036,7318,284,553
MethodTypeParameterName,0.040000000000000036,112,5,22
MultipleStringLiterals,0.040000000000000036,10482,384,786
NestedIfDepth,0.040000000000000036,5718,254,666
SeparatorWrap,0.040000000000000036,7873,320,1197
SingleLineJavadoc,0.040000000000000036,369,15,65
UnnecessarySemicolonInTryWithResources,0.040000000000000036,25,1,6
AbstractClassName,0.030000000000000027,1520,42,91
HiddenField,0.030000000000000027,10740,280,437
HideUtilityClassConstructor,0.030000000000000027,1408,45,33
IllegalToken,0.030000000000000027,173,6,24
ImportOrder,0.030000000000000027,18051,544,499
InterfaceIsType,0.030000000000000027,112,3,7
MissingCtor,0.030000000000000027,9230,329,281
ReturnCount,0.030000000000000027,7978,287,728
SummaryJavadoc,0.030000000000000027,9387,247,466
ClassFanOutComplexity,0.020000000000000018,8450,203,889
ClassTypeParameterName,0.020000000000000018,92,2,4
EmptyLineSeparator,0.020000000000000018,15794,250,558
FileLength,0.020000000000000018,863,18,147
JavadocStyle,0.020000000000000018,7120,180,454
MethodCount,0.020000000000000018,624,15,120
MissingJavadocMethod,0.020000000000000018,16242,284,374
MissingJavadocType,0.020000000000000018,9837,242,219
TypeName,0.020000000000000018,184,3,11
UncommentedMain,0.020000000000000018,554,10,15
WriteTag,0.020000000000000018,11688,261,316
AnnotationOnSameLine,0.010000000000000009,18503,117,435
DefaultComesLast,0.010000000000000009,66,1,10
DesignForExtension,0.010000000000000009,15032,205,248
FinalLocalVariable,0.010000000000000009,16451,180,495
FinalParameters,0.010000000000000009,18679,105,208
JavadocVariable,0.010000000000000009,18581,159,300
CovariantEquals,0.0,10,0,0
ImportControl,0.0,22520,0,0
LineLength,0.0,21603,39,240
MissingJavadocPackage,0.0,2,0,0
OuterTypeFilename,0.0,1,0,0
PackageName,0.0,34,0,0
Regexp,0.0,2,0,0
